Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Michael Jordan,34,CHI,SG,82,82,38.8,10.7,23.1,0.465,0.4,1.5,0.238,10.4,21.5,0.482,0.473,6.9,8.8,0.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7,"MVP-1,DPOY-4,AS,NBA1,DEF1"
2,Shaquille O'Neal,25,LAL,C,60,57,36.3,11.2,19.1,0.584,0,0,,11.2,19.1,0.584,0.584,6,11.4,0.527,3.5,7.9,11.4,2.4,0.7,2.4,2.9,3.2,28.3,"MVP-4,AS,NBA1"
3,Karl Malone,34,UTA,PF,81,81,37.4,9.6,18.2,0.53,0,0.1,0.333,9.6,18.1,0.531,0.531,7.8,10.2,0.761,2.3,8,10.3,3.9,1.2,0.9,3,2.9,27,"MVP-2,AS,NBA1,DEF1"
4,Glenn Robinson,25,MIL,SF,56,56,41,9.5,20.3,0.47,0.4,1.2,0.385,9.1,19.1,0.475,0.481,3.8,4.8,0.808,1.5,4,5.5,2.8,1.2,0.6,3.6,2.9,23.4,
5,Mitch Richmond,32,SAC,SG,70,70,36.7,7.8,17.4,0.445,1.9,4.8,0.389,5.9,12.7,0.466,0.498,5.8,6.7,0.864,0.7,2.6,3.3,4,1.3,0.2,2.6,2.2,23.2,"MVP-15,AS,NBA3"
6,Antoine Walker,21,BOS,PF,82,82,39.9,8.8,20.8,0.423,1.1,3.6,0.312,7.7,17.2,0.447,0.45,3.7,5.8,0.645,3.3,6.9,10.2,3.3,1.7,0.7,3.6,3.2,22.4,"MVP-12,AS"
7,Shareef Abdur-Rahim,21,VAN,SF,82,82,36,8,16.4,0.485,0.3,0.6,0.412,7.7,15.8,0.488,0.493,6.1,7.8,0.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3,
8,Glen Rice,30,CHH,SF,82,82,40.2,7.7,16.9,0.457,1.6,3.7,0.433,6.1,13.2,0.464,0.504,5.2,6.1,0.849,1.1,3.2,4.3,2.2,0.9,0.3,2.2,2.4,22.3,"MVP-11,AS,NBA3"
9,Allen Iverson,22,PHI,PG,80,80,39.4,8.1,17.6,0.461,0.9,2.9,0.298,7.2,14.7,0.494,0.486,4.9,6.7,0.729,1.1,2.6,3.7,6.2,2.2,0.3,3.1,2.5,22,
10,Chris Webber,24,WAS,C,71,71,39.6,9.1,18.9,0.482,0.9,2.9,0.317,8.2,16,0.512,0.507,2.8,4.7,0.589,2.5,7,9.5,3.8,1.6,1.7,2.6,3.8,21.9,
11,David Robinson,32,SAS,C,73,73,33.7,7.5,14.6,0.511,0,0.1,0.25,7.4,14.5,0.512,0.511,6.6,9,0.735,3.3,7.3,10.6,2.7,0.9,2.6,2.8,2.8,21.6,"MVP-7,DPOY-3,AS,NBA2,DEF2"
12,Michael Finley,24,DAL,SF,82,82,41.4,8.2,18.4,0.449,1.1,3,0.357,7.2,15.4,0.466,0.477,4,5.1,0.784,1.8,3.5,5.3,4.9,1.6,0.4,2.7,2,21.5,MVP-18
13,Latrell Sprewell,27,GSW,SG,14,13,39.1,7.9,19.8,0.397,0.6,3.4,0.188,7.2,16.4,0.441,0.413,5,6.7,0.745,0.5,3.1,3.6,4.9,1.4,0.4,3.1,1.9,21.4,
14,Tim Duncan,21,SAS,PF,82,82,39.1,8.6,15.7,0.549,0,0.1,0,8.6,15.6,0.553,0.549,3.9,5.9,0.662,3.3,8.6,11.9,2.7,0.7,2.5,3.4,3.1,21.1,"MVP-5,ROY-1,DPOY-5,AS,NBA1,DEF2"
15,Grant Hill,25,DET,SF,81,81,40.7,7.6,16.8,0.452,0,0.3,0.143,7.6,16.5,0.457,0.453,5.9,8,0.74,1.1,6.5,7.7,6.8,1.8,0.7,3.5,2.4,21.1,"MVP-9,AS,NBA2"
16,Patrick Ewing,35,NYK,C,26,26,32.6,7.8,15.5,0.504,0,0.1,0,7.8,15.4,0.506,0.504,5.2,7.2,0.72,2.3,7.9,10.2,1.1,0.6,2.2,3,2.8,20.8,
17,Tom Gugliotta,28,MIN,SF,41,41,38.6,7.8,15.5,0.502,0,0.4,0.118,7.7,15.1,0.513,0.504,4.5,5.4,0.821,2.6,6.1,8.7,4.1,1.5,0.5,2.7,2.5,20.1,
18,Steve Smith,28,ATL,SG,73,73,39.1,6.7,15.1,0.444,1.3,3.8,0.351,5.4,11.3,0.475,0.488,5.3,6.2,0.855,1.8,2.4,4.2,4,1,0.4,2.4,3,20.1,AS
19,Eric Williams,25,DEN,SF,4,4,36.3,6,15.3,0.393,0,0,,6,15.3,0.393,0.393,7.8,11.3,0.689,2.5,2.8,5.3,3,1,0,2.3,2.3,19.8,
20,Isaiah Rider,26,POR,SG,74,66,37.6,7.4,17.6,0.423,1.8,5.7,0.321,5.6,11.9,0.472,0.475,3,3.6,0.828,1.3,3.3,4.7,3.1,0.7,0.3,2.5,2.5,19.7,
21,Keith Van Horn,22,NJN,PF,62,62,37.5,7.2,16.9,0.426,1.1,3.6,0.308,6.1,13.3,0.458,0.459,4.2,4.9,0.846,2.3,4.3,6.6,1.7,1,0.4,2.6,3.5,19.7,ROY-2
22,Sam Cassell,28,NJN,PG,75,72,34.7,6.8,15.4,0.441,0.2,1.1,0.188,6.6,14.3,0.46,0.448,5.8,6.8,0.86,1,2.1,3,8,1.6,0.3,3.6,3.5,19.6,
